date,price,,,,,
7/9/19,2864.3,,,,,
7/10/19,2708.57,,,,,
7/11/19,2527.51,,,,,
7/12/19,2622.12,,,,,
7/15/19,2244.08,,,,,
7/16/19,1975.31,,,,,
7/17/19,2050.66,,,,,
7/18/19,2175.25,,,,,
7/19/19,2172.19,,,,,
7/22/19,2163.75,,,,,
7/23/19,2165.21,,,,,
7/24/19,2128.19,,,,,
7/25/19,2171.57,,,,,
7/26/19,2192.8,,,,,
7/29/19,2054.12,,,,,
7/30/19,2080.53,,,,,
7/31/19,2104.81,,,,,
8/1/19,2065.21,,,,,
8/2/19,2069.36,,,,,
8/5/19,2114.54,,,,,
8/6/19,2037.65,,,,,
8/7/19,1993.77,,,,,
8/8/19,1935.94,,,,,
8/9/19,1863.47,,,,,
8/12/19,1913.64,,,,,
8/13/19,1884.23,,,,,
8/14/19,1734.31,,,,,
8/15/19,1742.44,,,,,
8/16/19,1760.88,,,,,
8/19/19,1819.26,,,,,
8/20/19,1792.23,,,,,
8/21/19,1731.15,,,,,
8/22/19,1823.63,,,,,
8/23/19,1841.92,,,,,
8/26/19,1823.09,,,,,
8/27/19,1793.83,,,,,
8/28/19,1647.08,,,,,
8/29/19,1604.05,,,,,
8/30/19,1632.52,,,,,
9/2/19,1665.28,,,,,
9/3/19,1672.45,,,,,
9/4/19,1655.86,,,,,
9/5/19,1613.48,,,,,
9/6/19,1575.65,,,,,
9/9/19,1634.76,,,,,
9/10/19,1604.54,,,,,
9/11/19,1568.81,,,,,
9/12/19,1579.04,,,,,
9/13/19,1567.38,,,,,
9/16/19,1581.94,,,,,
9/17/19,1663.85,,,,,
9/18/19,1743.2,,,,,
9/19/19,1753.7,,,,,
9/20/19,1714.56,,,,,
9/23/19,1633.3,,,,,
9/24/19,1364.78,,,,,
9/25/19,1375.11,,,,,
9/26/19,1350.74,,,,,
9/27/19,1345.9,,,,,
9/30/19,1396.34,,,,,
10/1/19,1397.12,,,,,
10/2/19,1414.34,,,,,
10/3/19,1397.41,,,,,
10/4/19,1436.02,,,,,
10/7/19,1486.66,,,,,
10/8/19,1499.95,,,,,
10/9/19,1571.65,,,,,
10/10/19,1543.25,,,,,
10/11/19,1507.04,,,,,
10/14/19,1515.97,,,,,
10/15/19,1490.21,,,,,
10/16/19,1424.23,,,,,
10/17/19,1476.91,,,,,
10/18/19,1444.12,,,,,
10/21/19,1466.12,,,,,
10/22/19,1475.32,,,,,
10/23/19,1373.72,,,,,
10/24/19,1402.81,,,,,
10/25/19,1517.04,,,,,
10/28/19,1659.65,,,,,
10/29/19,1628.54,,,,,
10/30/19,1618.65,,,,,
10/31/19,1626.73,,,,,
11/1/19,1631.17,,,,,
11/4/19,1699.76,,,,,
11/5/19,1721.85,,,,,
11/6/19,1725.56,,,,,
11/7/19,1726.84,,,,,
11/8/19,1674.92,,,,,
11/11/19,1706.96,,,,,
11/12/19,1742.88,,,,,
11/13/19,1761.82,,,,,
11/14/19,1754.72,,,,,
11/15/19,1710.45,,,,,
11/18/19,1662.99,,,,,
11/19/19,1615.36,,,,,
11/20/19,1594.18,,,,,
11/21/19,1489.2,,,,,
11/22/19,1411,,,,,
11/25/19,1383.91,,,,,
11/26/19,1401.46,,,,,
11/27/19,1448.64,,,,,
11/28/19,1476.45,,,,,
11/29/19,1512.82,,,,,
12/2/19,1419.54,,,,,
12/3/19,1423.09,,,,,
12/4/19,1391.65,,,,,
12/5/19,1403.42,,,,,
